epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,48.5483,0.46976,0.9781,1,0.11651,0.000539324,0.000539324,0.000539324
2,95.1922,0.10692,0.9635,1,0.06443,0.000986586,0.000986586,0.000986586
3,139.267,0.10792,0.9635,1,0.09954,0.00132383,0.00132383,0.00132383
4,183.949,0.1008,0.9635,1,0.18967,0.0011719,0.0011719,0.0011719
5,227.947,0.0541,0.9708,1,0.07151,0.00100687,0.00100687,0.00100687
6,272.241,0.03942,0.9708,1,0.07542,0.000841835,0.000841835,0.000841835
7,315.642,0.0228,0.9635,1,0.08984,0.000676802,0.000676802,0.000676802
8,359.759,0.03108,0.9635,1,0.12602,0.000511769,0.000511769,0.000511769
9,403.485,0.02716,0.9562,1,0.10116,0.000346736,0.000346736,0.000346736
10,446.683,0.05579,0.9562,1,0.21947,0.000181703,0.000181703,0.000181703
